########################################################################################################################                                                                                                     
#                            Information of the orbit of Hayabusa2                                                     #                                                                                                     
#                                                                                   JAXA Hayabusa2 Orbit Planning Team #                                                                                                     
########################################################################################################################                                                                                                     
# L+    : Total date counted from the launchÅiLaunch date & time (2014/12/3 4:22:04UT)  [day]                                                                                                                                              
# X,Y,Z : Coordinate value based on the ecliptic plane [km]                                                                                          
# Rs    : Distance between Hayabusa2 and the Sun       [10^4km]                                                                                                                                                     
# Re    : Distance between Hayabusa2 and the Earth     [10^4km]                                                                                                                                                     
# Ra    : Distance between Hayabusa2 and Ryugu         [10^4km]                                                                                                                                                     
# Vs    : Cruising speed of Hayabusa2 (relative to the velocity of the Sun)    [km/s]                                                                                                                                                   
# Ve    : Relative speed of Hayabusa2 to the Earth     [km/s]                                                                                                                                                   
# alpha : Right ascension of Hayabusa2 as seen from the Earth  [deg]                                                                                                                                                                 
# delta : Declination of Hayabusa2 as seen from the Earth      [deg]                                                                                                                                                                 
# Dflt  : Total flight distance of Hayabusa2           [10^4km]                                                                                                                                                                                                                                                                                                                                                           
#============================================================================================================================================================================================================================
#                             |-----------  Spacecraft  ----------|  |-----------    Earth    -----------| |-----------    Ryugu      ----------|                                                                           
#       UTC             L+        X            Y            Z            X            Y            Z            X            Y            Z            Rs         Re         Ra       Vs       Ve     alpha    delta   Dflt  
#                      [day]     [km]         [km]         [km]         [km]         [km]         [km]         [km]         [km]         [km]       [10^4km]   [10^4km]   [10^4km]  [km/s]   [km/s]   [deg]    [deg] [10^4km]
#--------1---------------2--------3------------4------------5------------6------------7------------8------------9------------10-----------11-----------12---------13---------14-------15-------16-------17-------18-----19---
2017/12/10.04:59:59   1103.0  142384000.0 -137273000.0   18454000.0   30433000.0  144146000.0      -6000.0  148227000.0 -138287000.0   18994000.0   19863.97   30343.20     595.50   23.82   46.13   -67.14   -18.25 271009.8
2017/12/11.04:59:59   1104.0  143647000.0 -135649000.0   18524000.0   27868000.0  144647000.0      -6000.0  149405000.0 -136620000.0   19055000.0   19844.01   30383.27     586.38   23.84   46.23   -66.36   -18.12 271215.7
2017/12/12.04:59:59   1105.0  144892000.0 -134007000.0   18592000.0   25295000.0  145103000.0      -6000.0  150566000.0 -134938000.0   19114000.0   19823.60   30422.39     577.37   23.87   46.34   -65.59   -17.99 271421.9
2017/12/13.04:59:59   1106.0  146119000.0 -132348000.0   18657000.0   22713000.0  145514000.0      -6000.0  151710000.0 -133239000.0   19170000.0   19802.85   30460.66     568.43   23.90   46.44   -64.81   -17.86 271628.3
2017/12/14.04:59:59   1107.0  147327000.0 -130673000.0   18720000.0   20125000.0  145879000.0      -6000.0  152835000.0 -131524000.0   19225000.0   19781.70   30498.03     559.58   23.93   46.55   -64.03   -17.72 271834.9
2017/12/15.04:59:59   1108.0  148517000.0 -128981000.0   18781000.0   17530000.0  146199000.0      -6000.0  153942000.0 -129794000.0   19277000.0   19760.15   30534.49     550.82   23.96   46.65   -63.26   -17.58 272041.8
2017/12/16.04:59:59   1109.0  149687000.0 -127272000.0   18839000.0   14929000.0  146474000.0      -6000.0  155031000.0 -128049000.0   19326000.0   19738.21   30570.04     542.15   23.99   46.75   -62.48   -17.44 272249.0
2017/12/17.04:59:59   1110.0  150838000.0 -125548000.0   18895000.0   12323000.0  146703000.0      -6000.0  156101000.0 -126288000.0   19373000.0   19715.89   30604.68     533.57   24.03   46.86   -61.71   -17.29 272456.5
2017/12/18.04:59:59   1111.0  151970000.0 -123806000.0   18948000.0    9714000.0  146886000.0      -6000.0  157152000.0 -124511000.0   19418000.0   19693.17   30638.39     525.08   24.06   46.96   -60.93   -17.14 272664.2
2017/12/19.04:59:59   1112.0  153081000.0 -122049000.0   18999000.0    7102000.0  147024000.0      -6000.0  158184000.0 -122720000.0   19461000.0   19670.07   30671.19     516.69   24.09   47.06   -60.15   -16.98 272872.2
2017/12/20.04:59:59   1113.0  154173000.0 -120276000.0   19047000.0    4487000.0  147115000.0      -6000.0  159197000.0 -120913000.0   19501000.0   19646.58   30703.05     508.38   24.12   47.16   -59.38   -16.83 273080.5
2017/12/21.04:59:59   1114.0  155245000.0 -118487000.0   19093000.0    1871000.0  147161000.0      -6000.0  160190000.0 -119092000.0   19539000.0   19622.71   30734.00     500.16   24.16   47.26   -58.61   -16.67 273289.1
2017/12/22.04:59:59   1115.0  156297000.0 -116683000.0   19136000.0    -744000.0  147161000.0      -6000.0  161164000.0 -117257000.0   19575000.0   19598.46   30764.02     492.03   24.19   47.37   -57.83   -16.50 273498.0
2017/12/23.04:59:59   1116.0  157327000.0 -114863000.0   19177000.0   -3360000.0  147115000.0      -6000.0  162117000.0 -115406000.0   19608000.0   19573.82   30793.11     483.99   24.23   47.47   -57.06   -16.34 273707.1
2017/12/24.04:59:59   1117.0  158337000.0 -113028000.0   19216000.0   -5975000.0  147022000.0      -6000.0  163051000.0 -113542000.0   19638000.0   19548.81   30821.29     476.04   24.26   47.57   -56.29   -16.16 273916.6
2017/12/25.04:59:59   1118.0  159326000.0 -111178000.0   19252000.0   -8588000.0  146885000.0      -5000.0  163965000.0 -111663000.0   19666000.0   19523.42   30848.54     468.18   24.30   47.67   -55.51   -15.99 274126.4
2017/12/26.04:59:59   1119.0  160294000.0 -109313000.0   19285000.0  -11197000.0  146701000.0      -5000.0  164857000.0 -109771000.0   19692000.0   19497.66   30874.87     460.40   24.34   47.77   -54.74   -15.81 274336.5
2017/12/27.04:59:59   1120.0  161241000.0 -107434000.0   19315000.0  -13803000.0  146472000.0      -5000.0  165730000.0 -107864000.0   19715000.0   19471.52   30900.29     452.72   24.38   47.87   -53.97   -15.63 274547.0
2017/12/28.04:59:59   1121.0  162166000.0 -105540000.0   19343000.0  -16405000.0  146197000.0      -5000.0  166581000.0 -105944000.0   19736000.0   19445.02   30924.81     445.12   24.41   47.96   -53.20   -15.45 274757.8
2017/12/29.04:59:59   1122.0  163068000.0 -103632000.0   19369000.0  -19001000.0  145877000.0      -5000.0  167411000.0 -104011000.0   19754000.0   19418.14   30948.41     437.60   24.45   48.06   -52.42   -15.26 274968.9
2017/12/30.04:59:59   1123.0  163949000.0 -101710000.0   19392000.0  -21591000.0  145512000.0      -5000.0  168220000.0 -102064000.0   19770000.0   19390.90   30971.13     430.18   24.49   48.16   -51.65   -15.07 275180.3
2017/12/31.04:59:59   1124.0  164808000.0  -99774000.0   19412000.0  -24174000.0  145101000.0      -5000.0  169007000.0 -100104000.0   19783000.0   19363.29   30992.96     422.84   24.53   48.26   -50.88   -14.88 275392.1
2018/01/01.04:59:59   1125.0  165644000.0  -97825000.0   19430000.0  -26750000.0  144646000.0      -5000.0  169773000.0  -98132000.0   19794000.0   19335.32   31013.91     415.59   24.57   48.36   -50.11   -14.68 275604.2
2018/01/02.04:59:59   1126.0  166458000.0  -95862000.0   19444000.0  -29317000.0  144146000.0      -5000.0  170516000.0  -96146000.0   19802000.0   19306.99   31033.98     408.42   24.61   48.46   -49.34   -14.49 275816.7
2018/01/03.04:59:59   1127.0  167248000.0  -93886000.0   19457000.0  -31875000.0  143601000.0      -5000.0  171237000.0  -94148000.0   19808000.0   19278.31   31053.19     401.34   24.65   48.56   -48.57   -14.28 276029.5
2018/01/04.04:59:59   1128.0  168015000.0  -91897000.0   19466000.0  -34424000.0  143012000.0      -5000.0  171936000.0  -92138000.0   19811000.0   19249.27   31071.54     394.34   24.70   48.66   -47.80   -14.08 276242.7
2018/01/05.04:59:59   1129.0  168760000.0  -89895000.0   19473000.0  -36962000.0  142379000.0      -5000.0  172613000.0  -90116000.0   19811000.0   19219.88   31089.03     387.43   24.74   48.77   -47.03   -13.87 276456.3
2018/01/06.04:59:59   1130.0  169480000.0  -87881000.0   19477000.0  -39488000.0  141702000.0      -5000.0  173266000.0  -88082000.0   19809000.0   19190.13   31105.67     380.61   24.78   48.87   -46.26   -13.66 276670.2
2018/01/07.04:59:59   1131.0  170177000.0  -85854000.0   19478000.0  -42003000.0  140980000.0      -6000.0  173897000.0  -86036000.0   19804000.0   19160.04   31121.44     373.87   24.83   48.97   -45.49   -13.44 276884.6
2018/01/08.04:59:59   1132.0  170850000.0  -83815000.0   19477000.0  -44505000.0  140215000.0      -6000.0  174504000.0  -83978000.0   19796000.0   19129.61   31136.36     367.22   24.87   49.08   -44.72   -13.23 277099.3
2018/01/09.04:59:59   1133.0  171498000.0  -81764000.0   19473000.0  -46993000.0  139406000.0      -6000.0  175088000.0  -81910000.0   19786000.0   19098.83   31150.42     360.64   24.92   49.18   -43.96   -13.01 277314.3
2018/01/10.04:59:59   1134.0  172122000.0  -79703000.0   19466000.0  -49467000.0  138553000.0      -6000.0  175648000.0  -79830000.0   19773000.0   19067.71   31163.63     354.17   24.96   49.28   -43.19   -12.78 277529.8
2018/01/11.04:59:59   1135.0  172722000.0  -77629000.0   19456000.0  -51925000.0  137657000.0      -6000.0  176185000.0  -77739000.0   19757000.0   19036.25   31175.96     347.77   25.01   49.39   -42.42   -12.56 277745.6
2018/01/12.04:59:59   1136.0  173297000.0  -75544000.0   19444000.0  -54368000.0  136719000.0      -5000.0  176697000.0  -75638000.0   19739000.0   19004.46   31187.42     341.44   25.06   49.50   -41.65   -12.33 277961.9
2018/01/13.04:59:59   1137.0  173847000.0  -73447000.0   19429000.0  -56793000.0  135737000.0      -5000.0  177185000.0  -73527000.0   19718000.0   18972.33   31198.01     335.19   25.11   49.60   -40.88   -12.10 278178.7
2018/01/14.04:59:59   1138.0  174371000.0  -71340000.0   19411000.0  -59201000.0  134713000.0      -5000.0  177649000.0  -71405000.0   19694000.0   18939.87   31207.74     329.01   25.16   49.71   -40.11   -11.86 278395.8
2018/01/15.04:59:59   1139.0  174871000.0  -69223000.0   19390000.0  -61591000.0  133647000.0      -5000.0  178088000.0  -69273000.0   19668000.0   18907.09   31216.61     322.92   25.21   49.81   -39.34   -11.62 278613.4
2018/01/16.04:59:59   1140.0  175344000.0  -67095000.0   19366000.0  -63962000.0  132540000.0      -5000.0  178502000.0  -67132000.0   19639000.0   18873.99   31224.62     316.91   25.25   49.91   -38.58   -11.38 278831.4
2018/01/17.04:59:59   1141.0  175792000.0  -64957000.0   19340000.0  -66313000.0  131391000.0      -5000.0  178891000.0  -64981000.0   19607000.0   18840.56   31231.78     310.98   25.31   50.02   -37.81   -11.14 279049.8
2018/01/18.04:59:59   1142.0  176214000.0  -62810000.0   19310000.0  -68643000.0  130200000.0      -5000.0  179254000.0  -62821000.0   19572000.0   18806.83   31238.08     305.12   25.36   50.12   -37.04   -10.90 279268.7
2018/01/19.04:59:59   1143.0  176610000.0  -60653000.0   19278000.0  -70951000.0  128970000.0      -5000.0  179592000.0  -60652000.0   19534000.0   18772.77   31243.52     299.34   25.41   50.22   -36.27   -10.65 279488.0
2018/01/20.04:59:59   1144.0  176979000.0  -58487000.0   19243000.0  -73237000.0  127699000.0      -4000.0  179905000.0  -58475000.0   19494000.0   18738.41   31248.12     293.64   25.46   50.32   -35.50   -10.40 279707.8
2018/01/21.04:59:59   1145.0  177322000.0  -56312000.0   19205000.0  -75501000.0  126388000.0      -4000.0  180191000.0  -56289000.0   19451000.0   18703.75   31251.89     288.01   25.51   50.42   -34.73   -10.15 279928.0
2018/01/22.04:59:59   1146.0  177637000.0  -54128000.0   19164000.0  -77740000.0  125038000.0      -4000.0  180451000.0  -54094000.0   19405000.0   18668.79   31254.84     282.47   25.57   50.52   -33.96    -9.89 280148.6
2018/01/23.04:59:59   1147.0  177926000.0  -51937000.0   19120000.0  -79956000.0  123649000.0      -4000.0  180686000.0  -51892000.0   19356000.0   18633.53   31256.96     277.01   25.62   50.62   -33.19    -9.63 280369.7
2018/01/24.04:59:59   1148.0  178187000.0  -49737000.0   19073000.0  -82146000.0  122222000.0      -4000.0  180893000.0  -49683000.0   19305000.0   18597.98   31258.26     271.62   25.67   50.72   -32.42    -9.37 280591.3
2018/01/25.04:59:59   1149.0  178421000.0  -47529000.0   19023000.0  -84310000.0  120757000.0      -4000.0  181074000.0  -47466000.0   19250000.0   18562.14   31258.75     266.30   25.73   50.82   -31.65    -9.11 280813.4
2018/01/26.04:59:59   1150.0  178628000.0  -45314000.0   18970000.0  -86448000.0  119255000.0      -4000.0  181228000.0  -45242000.0   19193000.0   18526.01   31258.44     261.05   25.79   50.92   -30.88    -8.84 281035.9
2018/01/27.04:59:59   1151.0  178806000.0  -43091000.0   18915000.0  -88560000.0  117715000.0      -4000.0  181354000.0  -43011000.0   19133000.0   18489.60   31257.34     255.88   25.84   51.02   -30.11    -8.58 281259.0
2018/01/28.04:59:59   1152.0  178957000.0  -40861000.0   18856000.0  -90643000.0  116140000.0      -4000.0  181454000.0  -40773000.0   19069000.0   18452.91   31255.46     250.78   25.90   51.12   -29.34    -8.31 281482.5
2018/01/29.04:59:59   1153.0  179079000.0  -38625000.0   18795000.0  -92699000.0  114529000.0      -4000.0  181526000.0  -38530000.0   19003000.0   18415.95   31252.82     245.75   25.96   51.22   -28.57    -8.03 281706.6
2018/01/30.04:59:59   1154.0  179173000.0  -36383000.0   18730000.0  -94726000.0  112883000.0      -4000.0  181570000.0  -36280000.0   18935000.0   18378.73   31249.45     240.79   26.02   51.32   -27.80    -7.76 281931.1
2018/01/31.04:59:59   1155.0  179238000.0  -34134000.0   18663000.0  -96723000.0  111202000.0      -4000.0  181586000.0  -34025000.0   18863000.0   18341.24   31245.33     235.90   26.08   51.42   -27.03    -7.48 282156.1
2018/02/01.04:59:59   1156.0  179275000.0  -31880000.0   18592000.0  -98691000.0  109487000.0      -4000.0  181575000.0  -31765000.0   18788000.0   18303.50   31240.48     231.08   26.14   51.52   -26.25    -7.20 282381.7
2018/02/02.04:59:59   1157.0  179283000.0  -29621000.0   18519000.0 -100629000.0  107738000.0      -4000.0  181535000.0  -29500000.0   18710000.0   18265.50   31234.92     226.34   26.20   51.62   -25.48    -6.92 282607.8
2018/02/03.04:59:59   1158.0  179261000.0  -27356000.0   18442000.0 -102536000.0  105957000.0      -4000.0  181466000.0  -27230000.0   18630000.0   18227.25   31228.64     221.66   26.26   51.73   -24.71    -6.64 282834.3
2018/02/04.04:59:59   1159.0  179210000.0  -25087000.0   18363000.0 -104411000.0  104142000.0      -4000.0  181369000.0  -24956000.0   18546000.0   18188.75   31221.67     217.05   26.32   51.83   -23.93    -6.35 283061.5
2018/02/05.04:59:59   1160.0  179130000.0  -22813000.0   18280000.0 -106254000.0  102295000.0      -4000.0  181243000.0  -22678000.0   18460000.0   18150.02   31213.99     212.51   26.38   51.93   -23.16    -6.07 283289.1
2018/02/06.04:59:59   1161.0  179020000.0  -20536000.0   18195000.0 -108065000.0  100417000.0      -4000.0  181088000.0  -20396000.0   18370000.0   18111.07   31205.63     208.04   26.44   52.03   -22.38    -5.78 283517.3
2018/02/07.04:59:59   1162.0  178880000.0  -18255000.0   18106000.0 -109842000.0   98507000.0      -4000.0  180904000.0  -18111000.0   18278000.0   18071.88   31196.59     203.63   26.50   52.14   -21.60    -5.49 283746.0
2018/02/08.04:59:59   1163.0  178710000.0  -15971000.0   18014000.0 -111586000.0   96567000.0      -4000.0  180690000.0  -15823000.0   18183000.0   18032.47   31186.86     199.29   26.57   52.24   -20.83    -5.19 283975.3
2018/02/09.04:59:59   1164.0  178510000.0  -13683000.0   17920000.0 -113296000.0   94597000.0      -3000.0  180447000.0  -13533000.0   18084000.0   17992.85   31176.46     195.02   26.63   52.34   -20.05    -4.90 284205.0
2018/02/10.04:59:59   1165.0  178279000.0  -11393000.0   17822000.0 -114971000.0   92597000.0      -3000.0  180174000.0  -11240000.0   17983000.0   17953.02   31165.38     190.81   26.69   52.45   -19.27    -4.60 284435.4
2018/02/11.04:59:59   1166.0  178018000.0   -9101000.0   17721000.0 -116610000.0   90569000.0      -3000.0  179872000.0   -8946000.0   17879000.0   17912.98   31153.63     186.67   26.76   52.55   -18.49    -4.30 284666.3
2018/02/12.04:59:59   1167.0  177726000.0   -6808000.0   17618000.0 -118214000.0   88513000.0      -3000.0  179539000.0   -6650000.0   17772000.0   17872.74   31141.23     182.60   26.82   52.65   -17.70    -4.00 284897.8
2018/02/13.04:59:59   1168.0  177403000.0   -4513000.0   17511000.0 -119781000.0   86429000.0      -3000.0  179176000.0   -4352000.0   17661000.0   17832.32   31128.18     178.58   26.88   52.75   -16.92    -3.70 285129.8
2018/02/14.04:59:59   1169.0  177050000.0   -2217000.0   17401000.0 -121311000.0   84319000.0      -3000.0  178782000.0   -2054000.0   17548000.0   17791.71   31114.48     174.63   26.95   52.85   -16.14    -3.40 285362.3
2018/02/15.04:59:59   1170.0  176665000.0      79000.0   17288000.0 -122804000.0   82182000.0      -2000.0  178358000.0     243000.0   17432000.0   17750.93   31100.15     170.74   27.02   52.95   -15.35    -3.10 285595.5
2018/02/16.04:59:59   1171.0  176249000.0    2376000.0   17172000.0 -124259000.0   80020000.0      -2000.0  177904000.0    2541000.0   17313000.0   17709.97   31085.18     166.92   27.08   53.06   -14.56    -2.79 285829.2
2018/02/17.04:59:59   1172.0  175801000.0    4672000.0   17053000.0 -125675000.0   77834000.0      -2000.0  177418000.0    4839000.0   17190000.0   17668.84   31069.58     163.15   27.15   53.16   -13.77    -2.48 286063.5
2018/02/18.04:59:59   1173.0  175322000.0    6968000.0   16931000.0 -127053000.0   75623000.0      -2000.0  176902000.0    7136000.0   17065000.0   17627.55   31053.37     159.45   27.22   53.25   -12.98    -2.17 286298.3
2018/02/19.04:59:59   1174.0  174810000.0    9263000.0   16806000.0 -128392000.0   73389000.0      -2000.0  176354000.0    9432000.0   16937000.0   17586.12   31036.56     155.81   27.29   53.35   -12.19    -1.86 286533.8
2018/02/20.04:59:59   1175.0  174268000.0   11557000.0   16677000.0 -129691000.0   71133000.0      -2000.0  175775000.0   11726000.0   16805000.0   17544.56   31019.17     152.20   27.35   53.45   -11.40    -1.55 286769.8
2018/02/21.04:59:59   1176.0  173693000.0   13848000.0   16546000.0 -130950000.0   68855000.0      -1000.0  175165000.0   14018000.0   16671000.0   17502.84   31001.19     148.67   27.42   53.55   -10.61    -1.24 287006.4
2018/02/22.04:59:59   1177.0  173086000.0   16138000.0   16411000.0 -132169000.0   66557000.0      -1000.0  174523000.0   16307000.0   16534000.0   17461.00   30982.63     145.20   27.49   53.64    -9.81    -0.92 287243.7
2018/02/23.04:59:59   1178.0  172446000.0   18424000.0   16274000.0 -133347000.0   64238000.0      -1000.0  173849000.0   18594000.0   16394000.0   17419.03   30963.52     141.79   27.56   53.74    -9.01    -0.61 287481.5
2018/02/24.04:59:59   1179.0  171775000.0   20708000.0   16133000.0 -134484000.0   61899000.0      -1000.0  173144000.0   20877000.0   16250000.0   17376.94   30943.86     138.44   27.63   53.84    -8.21    -0.29 287719.9
2018/02/25.04:59:59   1180.0  171070000.0   22988000.0   15990000.0 -135581000.0   59542000.0      -1000.0  172406000.0   23156000.0   16104000.0   17334.74   30923.68     135.14   27.70   53.93    -7.41     0.02 287959.0
2018/02/26.04:59:59   1181.0  170333000.0   25264000.0   15843000.0 -136636000.0   57167000.0      -1000.0  171637000.0   25431000.0   15955000.0   17292.45   30902.99     131.91   27.78   54.03    -6.61     0.34 288198.7
2018/02/27.04:59:59   1182.0  169564000.0   27535000.0   15693000.0 -137649000.0   54775000.0      -1000.0  170835000.0   27701000.0   15803000.0   17250.07   30881.82     128.72   27.84   54.12    -5.81     0.66 288438.9
2018/02/28.04:59:59   1183.0  168761000.0   29801000.0   15541000.0 -138621000.0   52367000.0      -1000.0  170002000.0   29966000.0   15647000.0   17207.60   30860.18     125.59   27.91   54.22    -5.00     0.98 288679.8
2018/03/01.04:59:59   1184.0  167926000.0   32061000.0   15385000.0 -139550000.0   49943000.0      -1000.0  169135000.0   32225000.0   15489000.0   17165.06   30838.07     122.51   27.99   54.31    -4.19     1.30 288921.3
2018/03/02.04:59:59   1185.0  167057000.0   34316000.0   15226000.0 -140438000.0   47503000.0      -1000.0  168237000.0   34478000.0   15328000.0   17122.44   30815.52     119.50   28.06   54.41    -3.38     1.62 289163.4
2018/03/03.04:59:59   1186.0  166156000.0   36564000.0   15064000.0 -141282000.0   45050000.0      -1000.0  167306000.0   36725000.0   15164000.0   17079.77   30792.54     116.53   28.13   54.50    -2.57     1.94 289406.1
2018/03/04.04:59:59   1187.0  165221000.0   38804000.0   14900000.0 -142085000.0   42582000.0      -1000.0  166342000.0   38964000.0   14997000.0   17037.06   30769.15     113.62   28.20   54.59    -1.75     2.27 289649.5
2018/03/05.04:59:59   1188.0  164254000.0   41037000.0   14732000.0 -142844000.0   40102000.0      -1000.0  165346000.0   41195000.0   14827000.0   16994.31   30745.36     110.75   28.27   54.69    -0.93     2.59 289893.4
2018/03/06.04:59:59   1189.0  163253000.0   43262000.0   14561000.0 -143560000.0   37609000.0      -1000.0  164317000.0   43419000.0   14654000.0   16951.53   30721.19     107.92   28.34   54.78    -0.11     2.91 290138.0
2018/03/07.04:59:59   1190.0  162219000.0   45478000.0   14388000.0 -144233000.0   35105000.0      -1000.0  163255000.0   45634000.0   14478000.0   16908.73   30696.63     105.13   28.41   54.87     0.71     3.24 290383.1
2018/03/08.04:59:59   1191.0  161152000.0   47684000.0   14211000.0 -144863000.0   32590000.0      -1000.0  162160000.0   47839000.0   14299000.0   16865.92   30671.71     102.39   28.48   54.97     1.53     3.56 290628.8
2018/03/09.04:59:59   1192.0  160051000.0   49881000.0   14032000.0 -145448000.0   30065000.0      -1000.0  161033000.0   50035000.0   14117000.0   16823.11   30646.42      99.69   28.55   55.06     2.36     3.88 290875.2
2018/03/10.04:59:59   1193.0  158918000.0   52068000.0   13849000.0 -145990000.0   27531000.0          0.0  159872000.0   52221000.0   13932000.0   16780.30   30620.77      97.04   28.62   55.16     3.19     4.21 291122.2
2018/03/11.04:59:59   1194.0  157750000.0   54243000.0   13664000.0 -146488000.0   24988000.0          0.0  158679000.0   54396000.0   13745000.0   16737.51   30594.76      94.44   28.70   55.25     4.02     4.53 291369.8
2018/03/12.04:59:59   1195.0  156549000.0   56408000.0   13476000.0 -146941000.0   22438000.0          0.0  157452000.0   56559000.0   13555000.0   16694.73   30568.40      91.89   28.77   55.35     4.86     4.86 291618.0
2018/03/13.04:59:59   1196.0  155315000.0   58561000.0   13284000.0 -147350000.0   19880000.0          0.0  156193000.0   58711000.0   13361000.0   16651.98   30541.69      89.39   28.85   55.44     5.70     5.18 291866.9
2018/03/14.04:59:59   1197.0  154047000.0   60702000.0   13090000.0 -147715000.0   17316000.0          0.0  154901000.0   60850000.0   13165000.0   16609.28   30514.66      86.94   28.92   55.54     6.54     5.50 292116.5
2018/03/15.04:59:59   1198.0  152746000.0   62829000.0   12894000.0 -148034000.0   14747000.0          0.0  153575000.0   62976000.0   12967000.0   16566.63   30487.29      84.54   29.00   55.63     7.39     5.83 292366.7
2018/03/16.04:59:59   1199.0  151411000.0   64944000.0   12694000.0 -148309000.0   12173000.0          0.0  152217000.0   65089000.0   12765000.0   16524.03   30459.62      82.19   29.07   55.72     8.23     6.15 292617.5
2018/03/17.04:59:59   1200.0  150043000.0   67044000.0   12491000.0 -148540000.0    9596000.0          0.0  150826000.0   67188000.0   12561000.0   16481.51   30431.64      79.88   29.15   55.82     9.08     6.47 292869.0
2018/03/18.04:59:59   1201.0  148641000.0   69130000.0   12286000.0 -148725000.0    7015000.0          0.0  149401000.0   69272000.0   12354000.0   16439.08   30403.37      77.63   29.22   55.91     9.94     6.80 293121.1
2018/03/19.04:59:59   1202.0  147206000.0   71201000.0   12078000.0 -148866000.0    4433000.0          0.0  147944000.0   71341000.0   12144000.0   16396.74   30374.81      75.42   29.30   56.00    10.80     7.12 293373.9
2018/03/20.04:59:59   1203.0  145738000.0   73255000.0   11867000.0 -148961000.0    1849000.0          0.0  146454000.0   73394000.0   11931000.0   16354.51   30346.00      73.24   29.37   56.08    11.66     7.44 293627.3
2018/03/21.04:59:59   1204.0  144237000.0   75294000.0   11654000.0 -149012000.0    -734000.0       1000.0  144932000.0   75431000.0   11716000.0   16312.40   30316.93      71.11   29.44   56.17    12.52     7.76 293881.4
2018/03/22.04:59:59   1205.0  142702000.0   77315000.0   11438000.0 -149018000.0   -3318000.0       1000.0  143377000.0   77450000.0   11498000.0   16270.42   30287.62      69.02   29.52   56.26    13.39     8.08 294136.1
2018/03/23.04:59:59   1206.0  141135000.0   79319000.0   11219000.0 -148979000.0   -5900000.0       1000.0  141789000.0   79452000.0   11278000.0   16228.58   30258.09      66.98   29.59   56.35    14.26     8.40 294391.5
2018/03/24.04:59:59   1207.0  139534000.0   81305000.0   10998000.0 -148896000.0   -8481000.0       1000.0  140168000.0   81436000.0   11055000.0   16186.89   30228.35      64.98   29.67   56.43    15.13     8.72 294647.5
2018/03/25.04:59:59   1208.0  137901000.0   83272000.0   10774000.0 -148768000.0  -11059000.0       1000.0  138516000.0   83401000.0   10829000.0   16145.37   30198.42      63.03   29.74   56.52    16.01     9.03 294904.1
2018/03/26.04:59:59   1209.0  136235000.0   85220000.0   10547000.0 -148596000.0  -13633000.0       1000.0  136831000.0   85347000.0   10601000.0   16104.02   30168.32      61.12   29.82   56.60    16.89     9.35 295161.4
2018/03/27.04:59:59   1210.0  134537000.0   87147000.0   10318000.0 -148380000.0  -16203000.0       1000.0  135114000.0   87272000.0   10371000.0   16062.87   30138.07      59.23   29.89   56.68    17.78     9.66 295419.3
2018/03/28.04:59:59   1211.0  132806000.0   89054000.0   10087000.0 -148119000.0  -18767000.0       1000.0  133365000.0   89177000.0   10138000.0   16021.92   30107.70      57.38   29.96   56.76    18.67     9.97 295677.9
2018/03/29.04:59:59   1212.0  131044000.0   90940000.0    9853000.0 -147815000.0  -21326000.0       1000.0  131584000.0   91061000.0    9902000.0   15981.18   30077.21      55.57   30.04   56.84    19.56    10.28 295937.1
2018/03/30.04:59:59   1213.0  129249000.0   92804000.0    9617000.0 -147467000.0  -23879000.0       1000.0  129771000.0   92923000.0    9664000.0   15940.67   30046.61      53.81   30.11   56.92    20.46    10.59 296196.9
2018/03/31.04:59:59   1214.0  127422000.0   94645000.0    9378000.0 -147076000.0  -26425000.0       1000.0  127927000.0   94762000.0    9424000.0   15900.39   30015.94      52.08   30.19   57.01    21.36    10.90 296457.4
2018/04/01.04:59:59   1215.0  125563000.0   96464000.0    9137000.0 -146641000.0  -28962000.0       1000.0  126052000.0   96578000.0    9182000.0   15860.37   29985.19      50.39   30.26   57.09    22.26    11.21 296718.5
2018/04/02.04:59:59   1216.0  123674000.0   98258000.0    8893000.0 -146163000.0  -31491000.0       1000.0  124146000.0   98370000.0    8937000.0   15820.61   29954.39      48.74   30.33   57.17    23.17    11.51 296980.3
2018/04/03.04:59:59   1217.0  121753000.0  100028000.0    8648000.0 -145641000.0  -34011000.0       1000.0  122209000.0  100138000.0    8690000.0   15781.14   29923.56      47.11   30.40   57.25    24.09    11.81 297242.6
2018/04/04.04:59:59   1218.0  119801000.0  101773000.0    8400000.0 -145077000.0  -36522000.0       1000.0  120241000.0  101881000.0    8441000.0   15741.95   29892.70      45.52   30.47   57.33    25.00    12.11 297505.6
2018/04/05.04:59:59   1219.0  117819000.0  103493000.0    8150000.0 -144470000.0  -39021000.0       1000.0  118244000.0  103598000.0    8190000.0   15703.07   29861.82      43.96   30.55   57.41    25.93    12.41 297769.2
2018/04/06.04:59:59   1220.0  115806000.0  105186000.0    7898000.0 -143820000.0  -41509000.0       2000.0  116216000.0  105289000.0    7936000.0   15664.50   29830.93      42.44   30.62   57.49    26.85    12.70 298033.4
2018/04/07.04:59:59   1221.0  113763000.0  106852000.0    7644000.0 -143128000.0  -43985000.0       2000.0  114158000.0  106953000.0    7681000.0   15626.26   29800.04      40.96   30.69   57.57    27.78    13.00 298298.2
