########################################################################################################################                                                                                                     
#                            Information of the orbit of Hayabusa2                                                     #                                                                                                     
#                                                                                   JAXA Hayabusa2 Orbit Planning Team #                                                                                                     
########################################################################################################################                                                                                                     
# L+    : Total date counted from the launchÅiLaunch date & time (2014/12/3 4:22:04UT)  [day]                                                                                                                                              
# X,Y,Z : Coordinate value based on the ecliptic plane [km]                                                                                          
# Rs    : Distance between Hayabusa2 and the Sun       [10^4km]                                                                                                                                                     
# Re    : Distance between Hayabusa2 and the Earth     [10^4km]                                                                                                                                                     
# Ra    : Distance between Hayabusa2 and Ryugu         [10^4km]                                                                                                                                                     
# Vs    : Cruising speed of Hayabusa2 (relative to the velocity of the Sun)    [km/s]                                                                                                                                                   
# Ve    : Relative speed of Hayabusa2 to the Earth     [km/s]                                                                                                                                                   
# alpha : Right ascension of Hayabusa2 as seen from the Earth  [deg]                                                                                                                                                                 
# delta : Declination of Hayabusa2 as seen from the Earth      [deg]                                                                                                                                                                 
# Dflt  : Total flight distance of Hayabusa2           [10^4km]                                                                                                                                                                                                                                                                                                                                                           
#============================================================================================================================================================================================================================
#                             |-----------  Spacecraft  ----------|  |-----------    Earth    -----------| |-----------    Ryugu      ----------|                                                                           
#       UTC             L+        X            Y            Z            X            Y            Z            X            Y            Z            Rs         Re         Ra       Vs       Ve     alpha    delta   Dflt  
#                      [day]     [km]         [km]         [km]         [km]         [km]         [km]         [km]         [km]         [km]       [10^4km]   [10^4km]   [10^4km]  [km/s]   [km/s]   [deg]    [deg] [10^4km]
#--------1---------------2--------3------------4------------5------------6------------7------------8------------9------------10-----------11-----------12---------13---------14-------15-------16-------17-------18-----19---
2015/01/03.05:00:01     31.0  -28033000.0  151470000.0   -9174000.0  -31274000.0  143733000.0      -4000.0  -69824000.0 -191723000.0    -595000.0   15431.54    1242.78   34583.52   28.89    4.70    73.22   -25.43   7909.3
2015/01/04.05:00:01     32.0  -30497000.0  151185000.0   -9440000.0  -33825000.0  143154000.0      -4000.0  -68017000.0 -192634000.0    -389000.0   15451.93    1283.02   34598.00   28.85    4.71    73.34   -25.20   8158.7
2015/01/05.05:00:01     33.0  -32952000.0  150860000.0   -9703000.0  -36365000.0  142530000.0      -4000.0  -66203000.0 -193523000.0    -182000.0   15472.16    1323.27   34611.65   28.81    4.71    73.47   -24.97   8407.8
2015/01/06.05:00:01     34.0  -35399000.0  150494000.0   -9964000.0  -38894000.0  141862000.0      -4000.0  -64381000.0 -194390000.0      23000.0   15492.24    1363.53   34624.46   28.77    4.72    73.61   -24.73   8656.5
2015/01/07.05:00:01     35.0  -37837000.0  150088000.0  -10221000.0  -41411000.0  141151000.0      -4000.0  -62551000.0 -195234000.0     229000.0   15512.17    1403.77   34636.45   28.73    4.73    73.75   -24.49   8905.0
2015/01/08.05:00:01     36.0  -40264000.0  149643000.0  -10477000.0  -43915000.0  140395000.0      -4000.0  -60714000.0 -196056000.0     436000.0   15531.91    1444.05   34647.59   28.70    4.74    73.90   -24.25   9153.1
2015/01/09.05:00:01     37.0  -42681000.0  149157000.0  -10729000.0  -46406000.0  139596000.0      -4000.0  -58870000.0 -196855000.0     642000.0   15551.48    1484.35   34657.89   28.66    4.74    74.06   -24.00   9400.9
2015/01/10.05:00:01     38.0  -45086000.0  148633000.0  -10979000.0  -48882000.0  138754000.0      -4000.0  -57020000.0 -197632000.0     848000.0   15570.87    1524.67   34667.34   28.62    4.75    74.22   -23.75   9648.4
2015/01/11.05:00:01     39.0  -47480000.0  148069000.0  -11225000.0  -51343000.0  137868000.0      -4000.0  -55163000.0 -198387000.0    1054000.0   15590.07    1565.00   34675.95   28.59    4.77    74.38   -23.49   9895.5
2015/01/12.05:00:01     40.0  -49861000.0  147467000.0  -11469000.0  -53789000.0  136940000.0      -4000.0  -53299000.0 -199118000.0    1260000.0   15609.09    1605.35   34683.72   28.55    4.78    74.56   -23.23  10142.3
2015/01/13.05:00:01     41.0  -52229000.0  146826000.0  -11710000.0  -56218000.0  135969000.0      -4000.0  -51430000.0 -199828000.0    1466000.0   15627.91    1645.73   34690.63   28.51    4.79    74.73   -22.97  10388.8
2015/01/14.05:00:01     42.0  -54583000.0  146148000.0  -11948000.0  -58630000.0  134955000.0      -4000.0  -49555000.0 -200514000.0    1672000.0   15646.54    1686.14   34696.70   28.48    4.80    74.92   -22.70  10635.0
2015/01/15.05:00:01     43.0  -56924000.0  145431000.0  -12182000.0  -61024000.0  133900000.0      -4000.0  -47674000.0 -201179000.0    1877000.0   15664.97    1726.57   34701.91   28.44    4.82    75.11   -22.43  10880.9
2015/01/16.05:00:01     44.0  -59249000.0  144677000.0  -12414000.0  -63399000.0  132802000.0      -4000.0  -45788000.0 -201820000.0    2083000.0   15683.20    1767.03   34706.26   28.41    4.83    75.31   -22.15  11126.5
2015/01/17.05:00:01     45.0  -61560000.0  143886000.0  -12642000.0  -65755000.0  131664000.0      -4000.0  -43897000.0 -202439000.0    2288000.0   15701.21    1807.51   34709.77   28.37    4.85    75.52   -21.87  11371.8
2015/01/18.05:00:01     46.0  -63855000.0  143058000.0  -12867000.0  -68090000.0  130484000.0      -4000.0  -42001000.0 -203036000.0    2493000.0   15719.01    1848.03   34712.41   28.34    4.87    75.73   -21.59  11616.7
2015/01/19.05:00:01     47.0  -66133000.0  142193000.0  -13089000.0  -70404000.0  129263000.0      -4000.0  -40100000.0 -203610000.0    2697000.0   15736.60    1888.57   34714.20   28.30    4.89    75.95   -21.31  11861.4
2015/01/20.05:00:01     48.0  -68394000.0  141293000.0  -13308000.0  -72696000.0  128002000.0      -4000.0  -38195000.0 -204161000.0    2901000.0   15753.96    1929.13   34715.11   28.27    4.90    76.18   -21.02  12105.8
2015/01/21.05:00:01     49.0  -70638000.0  140356000.0  -13523000.0  -74966000.0  126700000.0      -4000.0  -36286000.0 -204690000.0    3105000.0   15771.10    1969.72   34715.18   28.24    4.92    76.42   -20.73  12349.9
2015/01/22.05:00:01     50.0  -72865000.0  139384000.0  -13735000.0  -77211000.0  125360000.0      -4000.0  -34372000.0 -205197000.0    3309000.0   15788.01    2010.31   34714.38   28.21    4.94    76.66   -20.44  12593.8
2015/01/23.05:00:01     51.0  -75072000.0  138377000.0  -13943000.0  -79433000.0  123980000.0      -4000.0  -32455000.0 -205680000.0    3512000.0   15804.69    2050.91   34712.72   28.17    4.96    76.91   -20.14  12837.3
2015/01/24.05:00:01     52.0  -77261000.0  137336000.0  -14148000.0  -81630000.0  122561000.0      -3000.0  -30534000.0 -206141000.0    3715000.0   15821.14    2091.50   34710.20   28.14    4.97    77.17   -19.85  13080.6
2015/01/25.05:00:01     53.0  -79431000.0  136260000.0  -14349000.0  -83801000.0  121105000.0      -3000.0  -28610000.0 -206580000.0    3917000.0   15837.34    2132.08   34706.80   28.11    4.99    77.44   -19.55  13323.6
2015/01/26.05:00:01     54.0  -81581000.0  135150000.0  -14547000.0  -85946000.0  119611000.0      -3000.0  -26683000.0 -206996000.0    4119000.0   15853.31    2172.63   34702.54   28.08    5.01    77.71   -19.25  13566.4
2015/01/27.05:00:01     55.0  -83711000.0  134006000.0  -14741000.0  -88064000.0  118080000.0      -3000.0  -24753000.0 -207390000.0    4321000.0   15869.03    2213.16   34697.42   28.05    5.03    78.00   -18.95  13808.9
2015/01/28.05:00:01     56.0  -85820000.0  132829000.0  -14932000.0  -90155000.0  116513000.0      -3000.0  -22820000.0 -207761000.0    4522000.0   15884.51    2253.65   34691.42   28.02    5.04    78.29   -18.65  14051.2
2015/01/29.05:00:01     57.0  -87907000.0  131619000.0  -15118000.0  -92218000.0  114909000.0      -3000.0  -20885000.0 -208109000.0    4723000.0   15899.73    2294.10   34684.56   28.00    5.06    78.58   -18.35  14293.2
2015/01/30.05:00:01     58.0  -89973000.0  130377000.0  -15301000.0  -94251000.0  113271000.0      -3000.0  -18947000.0 -208435000.0    4923000.0   15914.71    2334.50   34676.82   27.97    5.08    78.89   -18.05  14534.9
2015/01/31.05:00:01     59.0  -92017000.0  129103000.0  -15481000.0  -96256000.0  111597000.0      -2000.0  -17008000.0 -208738000.0    5122000.0   15929.42    2374.86   34668.22   27.94    5.10    79.20   -17.74  14776.4
2015/02/01.05:00:01     60.0  -94038000.0  127797000.0  -15656000.0  -98231000.0  109889000.0      -2000.0  -15066000.0 -209019000.0    5321000.0   15943.88    2415.17   34658.74   27.91    5.11    79.52   -17.44  15017.7
2015/02/02.05:00:01     61.0  -96037000.0  126460000.0  -15828000.0 -100175000.0  108148000.0      -2000.0  -13123000.0 -209278000.0    5520000.0   15958.07    2455.43   34648.39   27.89    5.13    79.84   -17.14  15258.8
2015/02/03.05:00:01     62.0  -98012000.0  125092000.0  -15995000.0 -102089000.0  106373000.0      -2000.0  -11179000.0 -209514000.0    5717000.0   15972.00    2495.63   34637.18   27.86    5.15    80.17   -16.83  15499.6
2015/02/04.05:00:01     63.0  -99963000.0  123694000.0  -16159000.0 -103971000.0  104565000.0      -2000.0   -9233000.0 -209727000.0    5915000.0   15985.65    2535.79   34625.09   27.84    5.17    80.51   -16.53  15740.2
2015/02/05.05:00:01     64.0 -101889000.0  122266000.0  -16319000.0 -105821000.0  102726000.0      -2000.0   -7287000.0 -209919000.0    6111000.0   15999.04    2575.88   34612.13   27.81    5.20    80.85   -16.23  15980.6
2015/02/06.05:00:01     65.0 -103792000.0  120808000.0  -16475000.0 -107639000.0  100854000.0      -2000.0   -5339000.0 -210087000.0    6307000.0   16012.16    2615.91   34598.30   27.79    5.22    81.20   -15.92  16220.7
2015/02/07.05:00:01     66.0 -105669000.0  119321000.0  -16627000.0 -109424000.0   98952000.0      -2000.0   -3391000.0 -210234000.0    6502000.0   16025.00    2655.88   34583.59   27.76    5.24    81.56   -15.62  16460.7
2015/02/08.05:00:01     67.0 -107521000.0  117805000.0  -16775000.0 -111175000.0   97019000.0      -2000.0   -1443000.0 -210358000.0    6697000.0   16037.56    2695.80   34568.02   27.74    5.26    81.92   -15.32  16700.5
2015/02/09.05:00:01     68.0 -109346000.0  116261000.0  -16919000.0 -112892000.0   95056000.0      -2000.0     504000.0 -210459000.0    6891000.0   16049.84    2735.65   34551.57   27.72    5.29    82.29   -15.01  16940.0
2015/02/10.05:00:01     69.0 -111146000.0  114689000.0  -17059000.0 -114574000.0   93064000.0      -2000.0    2453000.0 -210538000.0    7084000.0   16061.84    2775.45   34534.25   27.69    5.32    82.66   -14.71  17179.4
2015/02/11.05:00:01     70.0 -112919000.0  113090000.0  -17195000.0 -116222000.0   91043000.0      -2000.0    4401000.0 -210595000.0    7276000.0   16073.56    2815.19   34516.06   27.67    5.34    83.04   -14.41  17418.6
2015/02/12.05:00:01     71.0 -114665000.0  111463000.0  -17327000.0 -117834000.0   88994000.0      -2000.0    6349000.0 -210630000.0    7468000.0   16084.99    2854.87   34497.00   27.65    5.37    83.43   -14.10  17657.5
2015/02/13.05:00:01     72.0 -116384000.0  109810000.0  -17454000.0 -119409000.0   86918000.0      -2000.0    8296000.0 -210643000.0    7659000.0   16096.13    2894.48   34477.07   27.63    5.40    83.82   -13.80  17896.3
2015/02/14.05:00:01     73.0 -118076000.0  108131000.0  -17578000.0 -120948000.0   84814000.0      -2000.0   10242000.0 -210633000.0    7849000.0   16106.98    2934.03   34456.27   27.61    5.43    84.22   -13.50  18135.0
2015/02/15.05:00:01     74.0 -119739000.0  106427000.0  -17697000.0 -122450000.0   82684000.0      -2000.0   12187000.0 -210601000.0    8038000.0   16117.54    2973.52   34434.60   27.59    5.46    84.63   -13.20  18373.4
2015/02/16.05:00:01     75.0 -121374000.0  104697000.0  -17812000.0 -123915000.0   80528000.0      -2000.0   14131000.0 -210547000.0    8226000.0   16127.80    3012.93   34412.06   27.57    5.49    85.04   -12.90  18611.7
2015/02/17.05:00:01     76.0 -122980000.0  102943000.0  -17923000.0 -125341000.0   78348000.0      -2000.0   16073000.0 -210470000.0    8414000.0   16137.77    3052.27   34388.65   27.55    5.52    85.45   -12.60  18849.9
2015/02/18.05:00:01     77.0 -124557000.0  101164000.0  -18030000.0 -126729000.0   76143000.0      -2000.0   18014000.0 -210372000.0    8600000.0   16147.43    3091.53   34364.38   27.53    5.55    85.88   -12.30  19087.8
2015/02/19.05:00:01     78.0 -126105000.0   99361000.0  -18132000.0 -128077000.0   73915000.0      -2000.0   19953000.0 -210251000.0    8786000.0   16156.80    3130.69   34339.23   27.52    5.59    86.31   -12.01  19325.7
2015/02/20.05:00:01     79.0 -127624000.0   97535000.0  -18230000.0 -129386000.0   71663000.0      -2000.0   21889000.0 -210109000.0    8971000.0   16165.86    3169.76   34313.22   27.50    5.62    86.74   -11.71  19563.3
2015/02/21.05:00:01     80.0 -129112000.0   95686000.0  -18324000.0 -130655000.0   69390000.0      -1000.0   23824000.0 -209944000.0    9154000.0   16174.63    3208.72   34286.34   27.48    5.65    87.19   -11.42  19800.9
2015/02/22.05:00:01     81.0 -130570000.0   93815000.0  -18414000.0 -131884000.0   67096000.0      -1000.0   25755000.0 -209757000.0    9337000.0   16183.08    3247.56   34258.60   27.47    5.68    87.64   -11.12  20038.3
2015/02/23.05:00:01     82.0 -131998000.0   91922000.0  -18499000.0 -133073000.0   64781000.0      -1000.0   27685000.0 -209549000.0    9519000.0   16191.23    3286.27   34230.00   27.45    5.71    88.09   -10.83  20275.5
2015/02/24.05:00:01     83.0 -133395000.0   90008000.0  -18580000.0 -134220000.0   62447000.0      -1000.0   29611000.0 -209318000.0    9700000.0   16199.08    3324.85   34200.53   27.44    5.75    88.55   -10.54  20512.7
2015/02/25.05:00:01     84.0 -134761000.0   88072000.0  -18657000.0 -135326000.0   60093000.0      -1000.0   31534000.0 -209066000.0    9880000.0   16206.61    3363.28   34170.20   27.42    5.78    89.02   -10.25  20749.7
2015/02/26.05:00:01     85.0 -136095000.0   86116000.0  -18729000.0 -136391000.0   57722000.0      -1000.0   33454000.0 -208792000.0   10059000.0   16213.83    3401.55   34139.00   27.41    5.81    89.49    -9.97  20986.6
2015/02/27.05:00:01     86.0 -137398000.0   84140000.0  -18797000.0 -137414000.0   55333000.0          0.0   35370000.0 -208496000.0   10237000.0   16220.74    3439.67   34106.95   27.40    5.84    89.97    -9.68  21223.4
2015/02/28.05:00:01     87.0 -138669000.0   82144000.0  -18860000.0 -138396000.0   52928000.0          0.0   37283000.0 -208178000.0   10413000.0   16227.34    3477.62   34074.03   27.39    5.87    90.46    -9.40  21460.1
2015/03/01.05:00:01     88.0 -139908000.0   80130000.0  -18920000.0 -139335000.0   50506000.0          0.0   39192000.0 -207839000.0   10589000.0   16233.62    3515.41   34040.26   27.38    5.90    90.95    -9.12  21696.6
2015/03/02.05:00:01     89.0 -141114000.0   78096000.0  -18974000.0 -140232000.0   48070000.0          0.0   41096000.0 -207477000.0   10763000.0   16239.59    3553.02   34005.64   27.36    5.93    91.44    -8.85  21933.1
2015/03/03.05:00:01     90.0 -142288000.0   76045000.0  -19025000.0 -141086000.0   45619000.0          0.0   42997000.0 -207095000.0   10937000.0   16245.24    3590.46   33970.15   27.35    5.97    91.94    -8.57  22169.5
2015/03/04.05:00:01     91.0 -143428000.0   73976000.0  -19071000.0 -141898000.0   43154000.0          0.0   44893000.0 -206690000.0   11109000.0   16250.57    3627.73   33933.82   27.34    6.00    92.44    -8.30  22405.8
2015/03/05.05:00:01     92.0 -144536000.0   71891000.0  -19113000.0 -142667000.0   40677000.0          0.0   46784000.0 -206264000.0   11280000.0   16255.59    3664.83   33896.64   27.33    6.03    92.95    -8.03  22642.0
2015/03/06.05:00:01     93.0 -145610000.0   69788000.0  -19150000.0 -143392000.0   38187000.0          0.0   48670000.0 -205817000.0   11450000.0   16260.28    3701.78   33858.62   27.32    6.07    93.47    -7.76  22878.1
2015/03/07.05:00:01     94.0 -146650000.0   67670000.0  -19183000.0 -144075000.0   35685000.0          0.0   50552000.0 -205348000.0   11619000.0   16264.65    3738.56   33819.75   27.31    6.10    93.98    -7.50  23114.1
2015/03/08.05:00:01     95.0 -147657000.0   65537000.0  -19212000.0 -144714000.0   33173000.0          0.0   52428000.0 -204858000.0   11786000.0   16268.69    3775.17   33780.04   27.30    6.14    94.51    -7.23  23350.0
2015/03/09.05:00:01     96.0 -148630000.0   63389000.0  -19237000.0 -145309000.0   30651000.0          0.0   54298000.0 -204346000.0   11953000.0   16272.41    3811.62   33739.49   27.29    6.17    95.04    -6.97  23585.8
2015/03/10.05:00:01     97.0 -149568000.0   61226000.0  -19257000.0 -145861000.0   28119000.0          0.0   56163000.0 -203813000.0   12118000.0   16275.80    3847.90   33698.10   27.28    6.21    95.57    -6.71  23821.6
2015/03/11.05:00:01     98.0 -150472000.0   59049000.0  -19273000.0 -146368000.0   25579000.0          0.0   58022000.0 -203259000.0   12281000.0   16278.87    3884.00   33655.87   27.28    6.24    96.10    -6.46  24057.3
2015/03/12.05:00:01     99.0 -151341000.0   56859000.0  -19285000.0 -146832000.0   23030000.0          0.0   59875000.0 -202683000.0   12444000.0   16281.60    3919.94   33612.81   27.27    6.28    96.64    -6.20  24292.9
2015/03/13.05:00:01    100.0 -152175000.0   54656000.0  -19292000.0 -147251000.0   20475000.0          0.0   61722000.0 -202087000.0   12605000.0   16284.01    3955.70   33568.90   27.26    6.32    97.19    -5.95  24528.5
2015/03/14.05:00:01    101.0 -152974000.0   52441000.0  -19295000.0 -147627000.0   17913000.0          0.0   63562000.0 -201469000.0   12765000.0   16286.08    3991.28   33524.17   27.26    6.36    97.74    -5.71  24764.0
